WARNING 2025-07-10 12:33:34,508 log 12724 2416 Not Found: /api/user-behavior/realtime-personalization/
WARNING 2025-07-10 12:33:37,606 log 12724 15592 Not Found: /api/user-behavior/realtime-personalization/
WARNING 2025-07-10 12:45:35,687 log 12724 15488 Not Found: /api/products/best-deals/
WARNING 2025-07-10 12:45:36,678 log 12724 16092 Not Found: /api/products/best-deals/
WARNING 2025-07-10 12:45:37,910 log 12724 8444 Not Found: /api/user-behavior/realtime-personalization/
WARNING 2025-07-10 12:45:38,477 log 12724 6932 Not Found: /api/user-behavior/realtime-personalization/
ERROR 2025-07-10 12:47:23,561 services 12724 14556 Error comparing products: unsupported operand type(s) for +: 'float' and 'decimal.Decimal'
ERROR 2025-07-10 12:47:23,875 views 12724 14556 Error comparing products: 'criteria'
ERROR 2025-07-10 12:47:24,088 log 12724 14556 Internal Server Error: /api/comparisons/products/
ERROR 2025-07-10 12:47:27,249 services 12724 16092 Error comparing products: unsupported operand type(s) for +: 'float' and 'decimal.Decimal'
ERROR 2025-07-10 12:47:27,316 views 12724 16092 Error comparing products: 'criteria'
ERROR 2025-07-10 12:47:27,401 log 12724 16092 Internal Server Error: /api/comparisons/products/
ERROR 2025-07-10 12:47:32,564 services 12724 14556 Error comparing products: unsupported operand type(s) for +: 'float' and 'decimal.Decimal'
ERROR 2025-07-10 12:47:32,626 views 12724 14556 Error comparing products: 'criteria'
ERROR 2025-07-10 12:47:32,628 log 12724 14556 Internal Server Error: /api/comparisons/products/
ERROR 2025-07-10 12:48:02,194 services 12724 15488 Error comparing products: unsupported operand type(s) for +: 'float' and 'decimal.Decimal'
ERROR 2025-07-10 12:48:02,398 views 12724 15488 Error comparing products: 'criteria'
ERROR 2025-07-10 12:48:02,484 log 12724 15488 Internal Server Error: /api/comparisons/products/
INFO 2025-07-10 12:50:24,658 services 12724 14556 Enhanced search: 'h' -> 'h'
INFO 2025-07-10 12:50:25,128 services 12724 9788 Enhanced search: 'ho' -> 'ho'
INFO 2025-07-10 12:50:25,548 services 12724 6932 Enhanced search: 'hom' -> 'hom'
INFO 2025-07-10 12:50:26,413 services 12724 14556 Enhanced search: 'home' -> 'home'
INFO 2025-07-10 12:50:26,732 services 12724 9788 Enhanced search: 'homer' -> 'homer'
INFO 2025-07-10 12:50:27,120 services 12724 9788 Enhanced search: 'homer ' -> 'homer'
INFO 2025-07-10 12:50:27,503 services 12724 9788 Enhanced search: 'homer s' -> 'homer s'
INFO 2025-07-10 12:50:28,722 services 12724 9788 Enhanced search: 'homer st' -> 'homer st'
